"","ariv_int","idh_20","gini","gdp_cap","alphab","dens_pop","pop_urb","age_median","esp_vie","p65ans","prev_cvlds","prev_ch.resp","prev_diab","prev_malaria","prev_nutdef","pref_respdtub","prev_alco","med_1000","health_exp","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","hous_fossf","epi","lat_abs","pr_cum","ws2m_avg","rh2m_avg","tdew_avg","tmax_avg","tmin_avg","tmoy_avg","insol_avg","conf_pm","deaths_pm"
"prev_alco","0.3714","0.0571","0.0038","0.1114","0.0024","0.0411","0.9192","0.6972","0.3346","0.0615","0.2116","0.3165","0.1764","0.2397","0.1765","0.3793","","0.5793","0.1172","0.5946","0.3379","0.5073","0.1598","0.6234","0.2957","0.0042","4e-04","0.0027","1e-04","0.0274","9e-04","0.6783","0.0195","2e-04","0.5044","0.9235"
"med_1000","0.0077","<0.001","0.6228","<0.001","<0.001","0.4808","3e-04","<0.001","1e-04","2e-04","0.5105","0.2792","0.8223","1e-04","0.0217","0.1485","0.5793","","<0.001","<0.001","0.201","0.0278","0.0597","<0.001","<0.001","0.0131","0.0384","0.2897","0.5206","0.2472","0.032","0.0584","0.0109","0.6687","<0.001","<0.001"
"health_exp","0.0011","<0.001","0.5173","<0.001","<0.001","0.9527","1e-04","<0.001","0.007","1e-04","0.117","0.0251","0.5457","<0.001","0.0013","0.0193","0.1172","<0.001","","<0.001","0.0294","6e-04","0.0456","<0.001","<0.001","0.0423","0.0736","0.2646","0.9182","0.5902","0.0055","0.1491","0.006","0.4688","<0.001","<0.001"
"lack_hygien","4e-04","<0.001","0.7681","<0.001","<0.001","0.4042","5e-04","<0.001","<0.001","<0.001","0.4677","0.2669","0.8843","<0.001","0.0042","0.0616","0.5946","<0.001","<0.001","","2e-04","<0.001","0.0382","<0.001","<0.001","0.0054","0.0908","0.0717","0.9446","0.5491","0.0091","0.165","0.0163","0.945","<0.001","<0.001"
"immuniz_dtp1","0.0137","0.0112","0.6169","0.3495","0.0131","2e-04","0.5356","0.0307","<0.001","0.0859","0.7879","0.6912","0.8806","0.0941","0.1397","0.3709","0.3379","0.201","0.0294","2e-04","","<0.001","0.0917","0.0176","0.0762","0.4157","0.8715","0.6918","0.4274","0.7793","0.0177","0.7077","0.2313","0.5346","0.0133","0.0324"
"immuniz_bcg","0.0135","6e-04","0.8195","0.0082","6e-04","0.0119","0.608","2e-04","1e-04","0.0027","0.0988","0.0453","0.2269","8e-04","0.0053","0.0217","0.5073","0.0278","6e-04","<0.001","<0.001","","0.0706","0.0012","0.0181","0.046","0.2494","0.5071","0.8776","0.993","0.0931","0.7471","0.4142","0.3955","1e-04","0.0057"
"pm25","0.0296","0.0186","0.0089","0.2395","4e-04","0.6124","0.3093","0.0094","0.0734","0.0197","0.5417","0.549","0.6043","0.0253","0.1259","0.2958","0.1598","0.0597","0.0456","0.0382","0.0917","0.0706","","0.2132","0.0045","0.2767","0.5272","0.191","0.2696","0.7182","<0.001","0.1531","0.005","0.9274","0.0061","0.0096"
"hous_fossf","0.0011","<0.001","0.3525","<0.001","<0.001","0.7902","<0.001","<0.001","<0.001","<0.001","0.6932","0.37","0.6255","<0.001","0.0255","0.1656","0.6234","<0.001","<0.001","<0.001","0.0176","0.0012","0.2132","","<0.001","0.1456","0.0116","0.1678","0.945","0.6488","0.0142","0.2961","0.0239","0.9294","<0.001","<0.001"
"epi","5e-04","<0.001","0.972","2e-04","<0.001","0.8112","0.0778","6e-04","1e-04","0.007","0.4404","0.7246","0.1209","0.0029","0.4225","0.9305","0.2957","<0.001","<0.001","<0.001","0.0762","0.0181","0.0045","<0.001","","0.1745","0.0087","0.0299","0.2904","0.2827","0.0406","0.164","0.0419","0.2692","1e-04","1e-04"
"lat_abs","0.0202","0.0933","0.4465","0.1093","0.5963","0.0863","0.6823","0.0046","0.083","1e-04","0.5133","0.9676","0.2501","1e-04","0.4832","0.8078","0.0042","0.0131","0.0423","0.0054","0.4157","0.046","0.2767","0.1456","0.1745","","<0.001","8e-04","<0.001","<0.001","0.8973","3e-04","0.0728","9e-04","0.0147","0.0016"
"pr_cum","0.0321","0.1321","0.0391","0.0277","0.5879","0.0162","0.1925","0.0659","0.0625","0.0028","0.0833","0.3025","0.0203","0.0073","0.4346","0.3167","4e-04","0.0384","0.0736","0.0908","0.8715","0.2494","0.5272","0.0116","0.0087","<0.001","","<0.001","<0.001","<0.001","0.0593","0.0992","0.7035","<0.001","0.0777","0.0143"
"ws2m_avg","0.7942","0.3191","0.2906","0.4166","0.6444","0.6139","0.5276","0.2299","0.0446","0.0209","0.9939","0.7104","0.776","0.0024","0.589","0.4705","0.0027","0.2897","0.2646","0.0717","0.6918","0.5071","0.191","0.1678","0.0299","8e-04","<0.001","","8e-04","0.031","0.458","0.2655","0.08","<0.001","0.1572","0.0243"
"rh2m_avg","0.2784","0.477","0.026","0.9365","0.0617","0.0013","0.7492","0.8927","0.6832","0.1579","0.0207","0.0564","0.011","0.1373","0.0453","0.0599","1e-04","0.5206","0.9182","0.9446","0.4274","0.8776","0.2696","0.945","0.2904","<0.001","<0.001","8e-04","","<0.001","1e-04","0.0062","0.4208","<0.001","0.8969","0.2643"
"tdew_avg","0.0096","0.7513","0.1288","0.7071","0.6074","0.007","0.2737","0.7125","0.4288","0.3446","0.0022","0.0047","0.0011","0.1873","0.0289","0.0101","0.0274","0.2472","0.5902","0.5491","0.7793","0.993","0.7182","0.6488","0.2827","<0.001","<0.001","0.031","<0.001","","0.3829","<0.001","0.013","<0.001","0.6998","0.0881"
"tmax_avg","0.0026","<0.001","0.0141","0.0379","<0.001","0.0071","0.8644","0.0152","0.0563","0.3706","0.993","0.9982","0.8356","0.1752","0.1501","0.7035","9e-04","0.032","0.0055","0.0091","0.0177","0.0931","<0.001","0.0142","0.0406","0.8973","0.0593","0.458","1e-04","0.3829","","0.0034","<0.001","0.007","0.0022","0.0093"
"tmin_avg","1e-04","0.0402","0.7183","0.3911","0.109","0.2213","0.308","0.2287","0.3627","0.5069","0.0035","0.0038","0.0021","0.452","0.111","0.0127","0.6783","0.0584","0.1491","0.165","0.7077","0.7471","0.1531","0.2961","0.164","3e-04","0.0992","0.2655","0.0062","<0.001","0.0034","","<0.001","0.3205","0.1562","0.0186"
"tmoy_avg","<0.001","1e-04","0.1056","0.0463","2e-04","0.5683","0.7244","0.0184","0.1585","0.4135","0.0416","0.0468","0.0235","0.4201","0.7522","0.1204","0.0195","0.0109","0.006","0.0163","0.2313","0.4142","0.005","0.0239","0.0419","0.0728","0.7035","0.08","0.4208","0.013","<0.001","<0.001","","0.1605","0.0093","0.0063"
"insol_avg","0.93","0.4667","0.0099","0.7207","0.1409","0.0197","0.4967","0.8661","0.1543","0.3929","0.0341","0.0494","0.0503","0.2618","0.0247","0.0582","2e-04","0.6687","0.4688","0.945","0.5346","0.3955","0.9274","0.9294","0.2692","9e-04","<0.001","<0.001","<0.001","<0.001","0.007","0.3205","0.1605","","0.5553","0.423"
"conf_pm","0.0112","<0.001","0.1226","<0.001","<0.001","0.8904","2e-04","<0.001","1e-04","<0.001","0.0085","0.0016","0.0502","<0.001","<0.001","4e-04","0.5044","<0.001","<0.001","<0.001","0.0133","1e-04","0.0061","<0.001","1e-04","0.0147","0.0777","0.1572","0.8969","0.6998","0.0022","0.1562","0.0093","0.5553","","<0.001"
"deaths_pm","0.0101","<0.001","0.2416","<0.001","<0.001","0.6679","0.0017","<0.001","7e-04","2e-04","0.0773","0.0251","0.2251","<0.001","7e-04","0.007","0.9235","<0.001","<0.001","<0.001","0.0324","0.0057","0.0096","<0.001","1e-04","0.0016","0.0143","0.0243","0.2643","0.0881","0.0093","0.0186","0.0063","0.423","<0.001",""
