"","arriv","gini","alphab","dens_pop","urb_pop","prev_ch.resp","prev_malaria","alcohol_cons","med_1000","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","epi","lat_abs","ws2m_avg","conf_pm","death_pm"
"MOZ",2033000,54,60.65542984,37.98698491,36.52800122,1526587.435,7515602.135,2.3,0.1,27.6,93,94,21.22,33.9,18.665695,2.347478685,7418.024532,72.44936415
"NAM",1651000,59.1,91.52726746,3.02627716,51.0419999,79001.80035,66558.77153,5.43,0.4,18.3,92,94,24.05,40.2,22.9576,2.84774665,63196.67432,1611.125142
"NER",192000,34.3,35.04999924,18.39835438,16.51700087,818782.8548,5795517.276,0.67,0,70.8,92,70,93.18,30.8,17.607789,3.415298417,377.5516967,13.21280793
"NGA",5265000,35.1,62.01601028,217.5472239,51.15699983,9107672.02,41121466.6,10.84,0.4,68.6,65,67,61.73,31,9.082,2.279062119,1270.951562,15.63467223
"RWA",1634000,43.7,73.21559143,479.3830676,17.31300116,1100689.026,1571710.846,8.95,0.1,19.3,99,98,39.7,33.8,1.9403,1.264786845,10273.42311,115.5465096
"STP",33400.00153,56.3,92.81664276,224.0166667,73.59803958,11497.17069,2199.57957,5.88,0.1,11.4,97,95,39,37.6,0.1864,3.520085262,27643.9625,339.4464698
"SEN",1376000,40.3,51.90042114,82.8446139,47.65299793,499547.8728,366445.3275,0.76,0.1,23.9,97,99,59.78,30.7,14.4974,2.85952497,5270.807648,120.5176811
"SYC",428000,32.1,95.8677063,212.2282609,57.11856594,4626.375462,0,20.5,2.1,0.2,99,98,13.67,58.2,4.6796,4.433118149,414043.5339,1679.897567
"SLE",71000,35.7,43.20632935,108.0665975,42.48399666,309017.4082,2812585.721,5.7,0,81.3,95,86,54.28,25.7,8.460555,1.520085262,982.1821107,15.99853581
"SOM",828447,36.8,37.8,24.21808644,45.55400036,1039771.805,928400.0484,0.009,0,86.6,52,37,27.67,31.609,5.152149,4.443995128,1710.170463,88.13108674
"ZAF",14797000,63,87.04666901,48.03441091,66.8559966,3163955.157,44391.53658,9.52,0.9,13.7,84,84,25.15,43.1,30.5595,3.179890378,63508.60434,1708.247187
"SSD",500054,44.1,34.52275848,17.45069923,19.89900121,457822.8021,1505656.173,2.97448,0.092,63.3,51,52,34.75,30.084,6.877,2.160548112,1560.461369,12.47501269
"SDN",836000,34.2,60.6971817,23.09104859,34.9360004,2005576.772,1474056.296,0.51,0.3,17.3,97,92,43.8,34.8,12.8628,3.154725944,1447.099143,114.6140827
"TZA",1527000,40.5,77.88722992,61.23241106,34.50000046,3810839.871,3667203.238,11.27,0,38.4,91,91,26.73,31.1,6.369028,2.380694275,582.9623324,13.7918044
"TGO",876000,43.1,63.74562073,142.3202324,42.24800015,358585.8843,2075058.208,2.46,0.1,41.6,90,98,45.48,29.5,8.6195,1.708526188,4570.320127,33.65351186
"TUN",9429000,32.8,79.03643036,71.47924332,69.2540026,639005.8401,0,2.12,1.3,1,97,92,33.27,46.7,33.886917,3.168489647,88577.07483,2421.862381
"UGA",1402000,42.8,76.52749634,183.2730035,24.36100046,2371576.034,14144212.71,15.09,0.2,31.6,99,88,42.75,35.6,1.373333,2.08046285,3702.428353,81.22956809
"ZMB",1266000,57.1,86.74796295,23.73211889,44.07199921,601391.8768,2098027.33,6.54,1.2,34.9,94,95,30.79,34.7,13.133897,2.397783191,17739.73841,222.0476647
"ZWE",2294000,50.3,88.69342041,37.47944518,32.20999834,425653.6694,188089.1321,4.67,0.2,24.6,94,95,25.18,37,19.015438,2.600828258,16816.53328,371.7190874
