"","arriv","hdi","gini","gdp_cap","alphab","dens_pop","urb_pop","median_age","life_exp","p65yrs","prev_ch.resp","prev_malaria","alcohol_cons","med_1000","health_exp","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","hous_fossf","epi","lat_abs","ah_avg","ws2m_avg","rh2m_avg","tmax_avg","tmin_avg","tmoy_avg","insol_avg","conf_pm","death_pm"
"ETH",812000,0.47,35,855.7608623,51.7711792,98.63832943,21.22499961,19.799999,66.24,3.516690455,3863516.895,4480495.409,2.36,0.1,24.23,43.7,80,69,31.85,10.5,34.4,9.145,11.0129595,2.023909866,59.35158343,28.26420219,15.60028015,21.2919732,22.75576127,4191.321583,66.89047958
"GAB",526000,0.702,38,7767.013404,84.66716003,8.116632421,89.74099446,23.1,66.187,3.544727257,66208.84331,317442.2796,8.74,0.7,218.37,20.6,77,92,40.81,42.2,45.8,0.8037,18.43314939,0.065481121,78.63528624,30.09482339,21.8083922,25.42141291,15.30189403,21902.08043,139.4655845
"GMB",619000,0.466,35.9,777.8119321,50.77796936,207.7615929,61.9310084,17.5,61.735,2.560925431,83342.9555,57468.21074,3.55,0.1,22.16,29.7,93,88,57.74,10.5,27.9,13.4432,14.16835685,2.476894032,53.46822168,34.83578563,21.8636419,27.917162,21.01498173,5106.261176,155.470915
"GHA",897000,0.596,43.5,2202.115567,79.03964233,127.5167938,56.70700131,21.1,63.78,3.097322178,1004340.026,5888882.494,2.75,0.1,77.91,18.8,97,96,54.5,17.8,27.6,7.9465,18.32699563,1.854774665,70.15666261,33.0190743,22.63526188,27.41952497,18.16305116,5291.990336,47.5049918
"GIN",99000,0.466,33.7,962.8399086,32.0038414,51.94519645,36.50000164,19,61.185,2.94190559,544267.91,3768057.76,1.11,0.1,38.32,44.6,62,73,53.32,6.1,26.4,9.9456,16.16612387,1.771412911,69.68093788,31.13621194,19.98745432,25.17129111,19.3771011,2854.772353,34.45239407
"GNB",52400.00153,0.461,50.7,697.2949269,45.5811615,53.16695267,43.77699875,19.4,58.003,2.863260455,74463.05365,48869.88403,5.38,0.1,53.29,35.3,85,86,54.43,6.4,29.1,11.8037,17.11240581,2.146954933,66.39394641,33.28792935,22.12142509,27.17220463,19.90600487,4242.233677,88.49916863
"KEN",2049000,0.579,40.8,1816.546916,81.53497314,90.58699278,27.50700047,20,66.342,2.42382671,1871391.035,3392788.252,2.78,0.2,88.39,51.2,97,95,26.6,13.9,34.7,0.0236,14.30142938,1.241096224,60.13151035,32.90941535,19.9238246,25.65542022,19.8854324,6151.770192,107.4295831
"LSO",1142000,0.518,44.9,1118.131284,76.6352005,70.00223979,28.58500669,22.200001,53.705,4.925825825,64557.65746,0,4.59,0.1,124.79,44.4,92,96,24.49,10,28,29.61,6.475871433,2.151961023,64.15845311,16.85824604,4.590840438,10.26207065,19.77207065,15485.10588,327.9586386
"LBR",483207,0.465,35.3,621.8929536,48.30136108,44.33306995,51.6150083,19.200001,63.73,3.285693974,155553.9,1787587.488,6.12,0,45.42,41.5,94,84,52.28,11.4,22.6,6.428055,20.0995566,1.416248477,86.58158343,29.18054811,21.88008526,25.12573691,16.81537759,1498.772424,59.54582335
"LBY",760000,0.708,31.72,7685.949267,86.09999847,3.851831729,80.3930002,29,72.724,4.458238878,364028.8629,0,0.019,2.1,309.88,0.6,74,74,49.23,56.881,43.632,26.3351,5.858224695,3.488416565,32.05583435,30.13405603,14.48149817,21.95526188,22.1852497,74025.60726,946.5209049
