Code_ISO,arriv,hdi,gini,gdp_cap,alphab,dens_pop,urb_pop,median_age,life_exp,p65yrs,prev_cvlds,prev_ch.resp,prev_diab,prev_malaria,prev_nutdef,pref_respdtub,alcohol_cons,med_1000,health_exp,lack_hygien,immuniz_dtp1,immuniz_bcg,pm25,hous_fossf,epi,lat_abs,ah_avg,ws2m_avg,rh2m_avg,tdew_avg,tmax_avg,tmin_avg,tmoy_avg,insol_avg,conf_pm,death_pm
GNQ,,0.588,,8131.923888,94.3705368,48.34174688,72.62700352,22.4,58.402,2.424508808,47764.17209,54221.11921,36611.91096,463895.3152,293708.9198,391323.7935,7.23,0.4,314.3,22.3,77,85,44.47,32.8,38.1,1.6508,20.13564674,1.000032841,88.68799672,22.61967159,28.12213465,22.54236453,24.74369458,1.854844007,6989.010211,92.92131335
ERI,142000,0.434,,642.5076591,76.57051849,29.73639456,40.712,19.299999,65.941,4.084,248593.5789,352250.6283,130443.4352,78032.51084,1564661.725,1825654.223,1.44,0.1,23.79,45.6,97,97,37.02,10.3,30.4,15.1794,15.75595291,2.931313629,50.50280788,18.0692775,36.19349754,26.80917898,30.92180624,17.24188834,1899.342293,10.86645696
SWZ,1226000,0.608,54.6,3894.679807,88.41938019,66.13652074,23.98099518,21.5,59.401,4.014789266,45002.12319,61020.6095,40266.61659,664.3918864,143056.5719,306326.6935,10.04,0.3,271.14,27.9,96,98,19.9,15.5,33.8,26.5225,10.87950918,1.800147783,64.27737274,10.70288998,27.14155993,12.93087028,19.08908046,17.27576355,37775.33903,958.9506415
ETH,812000,0.47,35,855.7608623,51.7711792,98.63832943,21.22499961,19.799999,66.24,3.516690455,3537762.339,3863516.895,1427747.79,4480495.409,26650617.77,37407123.22,2.36,0.1,24.23,43.7,80,69,31.85,10.5,34.4,9.145,11.45311676,2.114745484,62.02065681,12.30136289,27.9391133,15.84591133,21.24126437,17.60940887,2749.263843,41.7117503
GAB,526000,0.702,38,7767.013404,84.66716003,8.116632421,89.74099446,23.1,66.187,3.544727257,79701.80734,66208.84331,75856.79029,317442.2796,421773.6543,526538.9346,8.74,0.7,218.37,20.6,77,92,40.81,42.2,45.8,0.8037,18.52471845,0.064318555,80.1863711,21.03753695,29.72095238,21.65863711,25.17154351,10.04965517,11915.79225,76.40688785
GMB,619000,0.466,35.9,777.8119321,50.77796936,207.7615929,61.9310084,17.5,61.735,2.560925431,86563.03039,83342.9555,43252.08852,57468.21074,690948.7232,429476.001,3.55,0.1,22.16,29.7,93,88,57.74,10.5,27.9,13.4432,14.27252311,2.619376026,52.42175698,14.87852217,35.42817734,22.26024631,28.40331691,21.35001642,4130.840914,135.8773202
GHA,897000,0.596,43.5,2202.115567,79.03964233,127.5167938,56.70700131,21.1,63.78,3.097322178,1302403.019,1004340.026,878836.4439,5888882.494,6905890.272,8120225.363,2.75,0.1,77.91,18.8,97,96,54.5,17.8,27.6,7.9465,18.66566671,1.949293924,70.92453202,20.7817734,33.15661741,22.71215107,27.46149425,6.401576355,3926.509482,34.05894222
GIN,99000,0.466,33.7,962.8399086,32.0038414,51.94519645,36.50000164,19,61.185,2.94190559,414146.5596,544267.91,234078.4873,3768057.76,2998160.842,3194114.571,1.11,0.1,38.32,44.6,62,73,53.32,6.1,26.4,9.9456,16.61031231,1.857241379,70.94315271,18.51287356,31.22702791,20.25931034,25.30761905,17.51931034,2309.954722,26.38740182
GNB,52400.00153,0.461,50.7,697.2949269,45.5811615,53.16695267,43.77699875,19.4,58.003,2.863260455,60613.85716,74463.05365,38613.81072,48869.88403,506708.3457,497367.8785,5.38,0.1,53.29,35.3,85,86,54.43,6.4,29.1,11.8037,17.23468043,2.301182266,65.86914614,18.97518883,33.66527094,22.45415435,27.49392447,19.94799672,3018.862817,61.94941804
KEN,2049000,0.579,40.8,1816.546916,81.53497314,90.58699278,27.50700047,20,66.342,2.42382671,2068734.662,1871391.035,864363.4444,3392788.252,7261133.393,15338667.42,2.78,0.2,88.39,51.2,97,95,26.6,13.9,34.7,0.0236,14.35699227,1.269261084,60.92908046,16.28643678,32.67082102,19.80582923,25.44642036,17.71453202,4486.307322,89.89238839
